,Unnamed: 0,Unnamed: 0.1,song,artist,text,duration_ms,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
627,627,627,Stay A Little Longer,Brothers Osborne,"[Verse 1]
Something like a strong wind is coming over me
Has got a hold of me, yeah
Thinking and doing things I shouldn't be
Really I shouldn't be

[Pre-Chorus]
One more call
It’s one more “What'cha doing right now?”
It’s one more trip to my side of town and you walk right in
One more here we go again

[Chorus]
One more drink leads to another
You slide up close to me
Tear our t-shirts off each other
Your hands all over me
I tell myself I’m not in love
But one more time is not enough
One last kiss and then you’re a goner
And I’m here wishing you could stay a little longer

[Verse 2]
So calm and so cool, yeah I try to be
Like it don’t bother me
The last time was the last time
Until I’m all alone and picking up the phone

[Pre-Chorus]
It's one more call
It’s one more “What'cha doing right now?”
It’s one more trip to my side of town and you walk right in
It's one more here we go again

[Chorus]
One more drink leads to another
You slide up close to me
Tear our t-shirts off each other
Your hands all over me
I tell myself I’m not in love
But one more time is not enough
One last kiss and then you’re a goner
And I’m here wishing you could stay a little longer

[Chorus]
One more drink leads to another
You slide up close to me
Tear our t-shirts off each other
Your hands all over me
I tell myself I’m not in love
But one more time is not enough
One last kiss and then you’re a goner
And I’m here wishing you could stay a little longer

[Ending]
Stay a little longer
Wishing you could stay a little longer...",335267,6,0.0414,0.555,0.89,0.131,0.147,-5.533,0.0309,96.987,0.513
501,501,501,Buy Me A Boat,Chris Janson,"I ain’t rich, but I damn sure wanna be
Working like a dog all day, ain’t working for me
I wish I had a rich uncle that’d kick the bucket
And that I was sitting on a pile like Warren Buffett
I know everybody says
Money can’t buy happiness

But it could buy me a boat, it could buy me a truck to pull it
It could buy me a Yeti 110 iced down with some silver bullets
Yeah, and I know what they say
Money can’t buy everything
Well, maybe so
But it could buy me a boat

They call me redneck, white trash and blue collar
But I could change all that if I had a couple million dollars
I keep hearing that money is the root of all evil
And you can’t fit a camel through the eye of a needle
I’m sure that’s probably true
But it still sounds pretty cool

‘Cause it could buy me a boat, it could buy me a truck to pull it
It could buy me a Yeti 110 iced down with some silver bullets
Yeah, and I know what they say
Money can’t buy everything
Well, maybe so
But it could buy me a boat

To float down on the water with a beer…
I hear the Powerball Lotto is a-sitting’ on a hundred mill…
Well, that would buy me a brand new rod and reel…

And it could buy me a boat, it could buy me a truck to pull it
It could buy me a Yeti 110 iced down with some Silver Bullets
Yeah, and I know what they say
Money can’t buy everything
Well, maybe so
But it could buy me a boat

Yeah, and I know what they say
Money can’t buy everything
Well, maybe so
But it could buy me a boat
It could buy me a boat",179078,2,0.319,0.574,0.745,0.0,0.11,-6.663,0.0507,154.042,0.693
564,564,564,Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner","[Verse 1: Quavo]
(Quavo!)
Lifestyle on camera
Hundred thousand dollar chandelier
They tried to turn me to an animal
But white people think I'm radical
Supermodels think I'm handsome
You might think I'm too aggressive
But really I think I'm too passive
'Til I pull out the chopper, start blastin'

[Chorus: Travis Scott]
1500, all in singles (straight up!)
Throw it up, watch it fall and drop
'Round and 'round they go
'Round and 'round they go

[Verse 2: Kanye West]
Pray for me
I'm about to hit the Ye button
I don't wanna say nothin' wrong
But it'd be wrong if I ain't say nothin'
Imagine if I ain't say somethin'
Wouldn't none these niggas say nothin'
I done lost and made money
Now I'm makin' somethin' they can't take from me
And I'm fresh out of debt in this muhfucka!
And they still ain't ready yet for a muhfucka!
Yeezy might have to go and put his Louis on
I'm 'bout to go Gucci in the Gucci store

[Verse 3: Gucci Mane]
It's Gucci!
Fresh out the feds in this mothafucka
And they still ain't ready yet for a mothafucka
Gucci Mane and I'm 'bout to put my Yeezys on
Now that Gucci home, it's over for you Gucci clones

[Chorus: Travis Scott]
1500, all in singles (straight up!)
Throw it up, watch it fall and drop
'Round and 'round they go
'Round and 'round they go
Champions, we run the city
Number one, they fallin' from the top
'Round and 'round they go
'Round and 'round they go (straight up)

[Verse 4: Big Sean]
Look, I say a prayer for my enemies
They cannot slow down what's meant for me
Funny how they come around like I can't see through they secret identities
Lately, it's all about Zen in me
Subtractin' the negative energy
Fuck with the family, turn your ass to a memory
My niggas keep it a century
I blow the check up, nigga, detonation
Kill 'em one by one, Final Destination
Top my destination
I got guardian angels all around a nigga, that's deflectin' Satan
I'm a mothafuckin' champion
This right here the fuckin' anthem
I can't dap you without hand san'
I don't know where your dirty ass hands been
I wake up to like a hundred texts
Championship team, but we can't cut the net
She all off in my jersey lookin' underdressed
I'm finna buy this bitch a Honda CRX
With...

[Chorus: Travis Scott + Desiigner]
1500, all in singles (straight up!)
Throw it up, watch it fall and drop
'Round and 'round they go
'Round and 'round it go, 'round and 'round it go
'Round and 'round they go
I'd rather be strapped and ride with a pole
Than to get down in a hole

[Verse 5: 2 Chainz]
I took a nap in the pulpit
I never like how a suit fit
I got a pocket full of money
It got me walkin' all slew-foot
I'm on my wave like a cruise ship
In that hoe mouth like a toothpick
Anyone get in my way
Nothin' to say, I tote 'em choppas like pool sticks
I wear pajamas to Ruth's Chris
Couldn't walk a mile in my new kicks
I'm comin' from the apartments
We never had our damn pool fixed
Walk in the mall with my new bitch
Tell her to get the whole rack
My new bitch gon' pull me a new bitch
Then pull me a new bitch
See that is a snowball effect
I got gold on my neck
Lookin' like a Super Bowl on my neck
I got a mansion full of marble floors
It look like I could go bowl in this bitch
Versace logos on bowls in this bitch
Like I'm a serial killer
I put the real in gorilla
I did this shit for my niggas

[Chorus: Travis Scott + Desiigner]
1500, all in singles (straight up!)
Throw it up, watch it fall and drop
'Round and 'round they go
'Round and 'round it go, 'round and 'round it go
'Round and 'round they go
I'd rather be strapped and ride with a pole
Than to get down in a hole
Champions, we run the city
Number one, they fallin' from the top
'Round and 'round they go
'Round and 'round it go, 'round and 'round it go
'Round and 'round they go
I'd rather be strapped and ride with a pole
Than to get down in a hole

[Verse 6: Yo Gotti]
I'm Yo Gotti!
Reach for my chain is suicide
The car I drive fit two inside
They mad at Ye 'cause he all in the neighborhood
But he let them goons inside
Let's fuck up the neighborhood
Let's fuck up the neighborhood
Buy every house in this bitch
You know that the money good
My wrist in the kitchen go 'round and 'round
Play with the kid, I'ma gun you down
The roof on that Wraith in the lost and found
Official trap shit let me slow it down
Way more shit than a Pamper
All we rock is bandanas
Whips so nasty, no manners
I just got head in a Phantom

[Verse 7: Gucci Mane]
She say she don't want a chump, baby want a champ
She say money make her cum, Gucci make her damp
1017's the Squad, Gucci Mane's the stamp
And he don't never sleep, he's a fuckin' vamp
I heard your bitch ride on the bus, you don't give a damn
My bitch drive a Lamb', you should call her ma'am
I love my Auntie Jane, but fuck Uncle Sam
I'm a walkin' money machine, check my Instagram
Niggas never test the kid so I don't have to cram
My city treat me like a king, I should wear a crown
And I don't really fuck around
I gave my bitch two mil' 'cause she stuck around

[Chorus: Travis Scott + Desiigner]
1500, all in singles (straight up!)
Throw it up, watch it fall and drop
'Round and 'round they go
'Round and 'round it go, 'round and 'round it go
'Round and 'round they go
I'd rather be strapped and ride with a pole
Than to get down in a hole
Champions, we run the city
Number one, they fallin' from the top
'Round and 'round they go
'Round and 'round it go
'Round and 'round they go
I'd rather be strapped and ride with a pole
Than to get down in a hole",334253,6,0.0661,0.695,0.777,0.0,0.874,-2.452,0.0817,135.01,0.36
690,690,690,The Fix,Nelly Featuring Jeremih,"[Intro]
Yeah, Mustard on the beat ho

[Verse 1: Nelly]
Shawty hit me on the late night
Got a man, got me thinkin', shawty, ain’t right (Ain’t right)
She say she ain't about the creep life (Creep life)
But all she wanna do is take pipe
I ain't mad at nobody (Nobody)
I just wanna have your body (Your body)
Now, I can give you the key, girl
Or you can meet me in the lobby
Talkin' 'bout it

[Pre-Chorus: Nelly]
Oh, I'll lay you down and go down
Girl, 'til I reach your ocean
Oh, so come and get this dick

[Chorus: Jeremih]
When you need that fix, yeah, that medicine
I know you like it like this
When you get that itch, adrenaline
Heart beatin' outta your chest
(Heart beatin' outta yo chest)
And when that pressure's buildin'
I got what you need, come fuck with me
And when you get that feelin'
I got sexual healin'
Oh, baby
(Talkin' 'bout)
Baby

[Verse 2: Nelly]
Bust it open every time I get up inside
Soakin' wet, turn the bed to a slip 'n' slide
Spread eagle, nigga eatin' like it's suppa time
Shawty knows whose is it, it's all mine
I ain't mad at nobody (No-ooo)
I just wanna have your body (Your body, body)
And if you can take it deep
Then let a nigga like me, get at that body girl

[Pre-Chorus: Nelly]
Oh, I'll lay you down and go down
Girl, 'til I reach your ocean
Oh, so come and get this dick

[Chorus: Jeremih]
When you need that fix, yeah, that medicine
I know you like it like this
When you get that itch, adrenaline
Heart beatin' outta your chest
(Heart beatin' outta yo chest)
And when that pressure's buildin'
I got what you need, come fuck with me
And when you get that feelin'
I got sexual healin'

[Bridge: Jeremih (Nelly)]
Oh, baby
(Talkin' 'bout)
Baby
(Sweat 'em all out)
Baby
(I can't hold it much longer)
Baby
(I'm gettin' stronger and stronger)

[Chorus: Jeremih]
When you need that fix, yeah, that medicine
I know you like it like this
When you get that itch, adrenaline
Heart beatin' outta your chest
(Heart beatin' outta yo chest)
And when that pressure's buildin' (Ah)
I got what you need, come fuck with me
And when you get that feelin'
I got sexual healin'
Oh, baby
Baby",173045,8,0.0485,0.812,0.479,0.0,0.102,-6.47,0.0429,95.505,0.0873
502,502,502,Watch Me,Silento,"[Intro]
Whip, nae nae
Whip, whip, nae nae
Whip, nae nae
Whip, whip, nae nae
You already know who it is
Silentó
Silentó
Silentó
Go on an' do it for me

[Chorus]
Now watch me whip (Kill it!)
Now watch me nae nae (Okay!)
Now watch me whip, whip
Watch me nae nae (Watch me do it)
Now watch me whip (Kill it!)
Now watch me nae nae (Okay!)
Now watch me whip, whip
Watch me nae nae (Can you do it?)
Now watch me, ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh
Now watch me, ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh

[Verse 1]
Do the stanky leg (Stank) do the stanky leg (Stank-stank)
Do the stanky leg (Stank) do the stanky leg (Stank-stank)
Do the stanky leg (Stank) do the stanky leg (Stank-stank)
Do the stanky leg (Stank) do the stanky leg (Stank-stank)
Now break your legs (Break 'em) break your legs (Brake the knob)
Tell 'em ""break your legs"" (Break 'em) break your legs (Brake the knob)
Gonna break your legs (Break 'em) break your legs (Brake the knob)
Gon' and break your legs (Break 'em) break your legs (Brake the knob)

[Pre-Chorus]
Now watch me bop bop bop bop bop
Bop bop bop bop bop
Now watch me bop bop bop bop bop
Bop bop bop bop bop

[Chorus]
Now watch me whip
(Kill it!)
Now watch me nae nae (Okay!)
Now watch me whip, whip
Watch me nae nae (Watch me do it)
Now watch me whip (Kill it!)
Now watch me nae nae (Okay!)
Now watch me whip, whip
Watch me nae nae (Can you do it?)
Now watch me, ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh
Now watch me, ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh

[Verse 2]
Now watch me yule (Soulja!), now watch me Superman (Okay)
Now watch me yule (Soulja!), now watch me Superman (Okay)
Now watch me yule (Soulja!), now watch me Superman (Okay)
Now watch me yule (Soulja!), now watch me Superman (Okay)
Now watch me duff, duff, duff, duff, duff
Duff, duff, duff (Hold on)
Now watch me duff, duff, duff, duff, duff
Duff, duff, duff, duff

[Pre-Chorus]
Now watch me bop bop bop bop bop
Bop bop bop bop bop
Now watch me bop bop bop bop bop
Bop bop bop bop bop

[Chorus]
Now watch me whip (Kill it!)
Now watch me nae nae (Okay!)
Now watch me whip, whip
Watch me nae nae (Watch me do it)
Now watch me whip (Kill it!)
Now watch me nae nae (Okay!)
Now watch me whip, whip
Watch me nae nae (Can you do it?)
Now watch me, ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh
Now watch me, ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh",185143,8,0.247,0.821,0.759,0.0,0.321,-8.541,0.121,140.01,0.962
628,628,628,Plug Walk,Rich The Kid,"[Intro]
Ayy, ayy (TheLabCook)

[Chorus]
Plug walk (plug walk, plug, plug)
I don't even understand how the fuck my plug talk
(Huh? what, what?)
Pick him up in a space coupe, I don't let my plug walk
(Skrrt, pull up in a space coupe)
New freak, had to cut my other lil' bitch off (ooh, ooh, lil' bitch)
50K, you could come and book a nigga for a plug walk

[Verse 1]
You can't reach me (what?)
Space coupe like E.T. (E.T.)
It's the plug tryna call me (skrrt, skrrt)
I was up trappin' early in the morning (plug)
Ooh, on the wave like a du-rag (du-rag)
Pussy nigga callin' for his boo back (pussy)
Plug walk, Gucci on my shoe racks (Gucci)
Walk up in the house, hit a rat-a-tat
'Til I ran into the plug ('til I ran into) 'til I ran into the mud (to the mud)
I done ran into some racks, I done ran into your girl ( 'to your girl)
Why the plug show me love? (Show me love)
I done came up from a dub (huh?)

[Chorus]
Plug walk (plug walk, plug, plug)
I don't even understand how the fuck my plug talk
(Huh? what, what?)
Pick him up in a space coupe, I don't let my plug walk
(Skrrt, pull up in a space coupe)
New freak, had to cut my other lil' bitch off (ooh, ooh, lil' bitch)
50K, you could come and book a nigga for a plug walk

[Verse 2]
Big ol' Bentley, it's a spaceship (woah)
Call me on my phone, I don't say shit (what?)
I make money when I talk (when I talk)
I'm a boss, take a loss (I'm a what?)
I could introduce you to the plug (to the plug)
Bitch, this ain't no Henny in my cup (lil' bitch)
Stayed down, now the racks up (racks up)
She gon' let me fuck, ass up (ass up)
Plug, I stuck kis in the Louis V (Louis V)
Fuck 12, I’m a G, ain't no stoppin' me (ain't no stoppin' me)
And my wrist is on overseas (drip)
Rich nigga, you can't talk to me (rich)

[Chorus]
Ayy, plug walk (plug walk, plug, plug)
I don't even understand how the fuck my plug talk
(Huh? what, what?)
Pick him up in a space coupe, I don't let my plug walk
(Skrrt, pull up in a space coupe)
New freak, had to cut my other lil' bitch off (ooh, ooh, lil' bitch)
50K, you could come and book a nigga for a plug walk",175230,11,0.202,0.876,0.519,0.0,0.108,-6.531,0.143,94.981,0.158
565,565,565,Bright,Echosmith,"[Verse 1]
I think the universe is on my side
Heaven and earth have finally aligned
Days are good and that's the way it should be

[Verse 2]
You sprinkle stardust on my pillow case
It's like a moon beam brushed across my face
Nights are good and that's the way it should be

[Pre-Chorus]
You make me sing ""oooh, la la la""
You make a girl go ""oooh""
I'm in love, love

[Chorus]
Did you see that shooting star tonight?
Were you dazzled by the same constellation?
Did you and Jupiter conspire to get me?
I think you and the Moon and Neptune got it right
Cause now I'm shining bright, so bright
Bright, so bright

[Verse 3]
And I see colors in a different way
You make what doesn't matter fade to grey
Life is good and that's the way it should be

[Pre-Chorus]
You make me sing ""oooh, la la la""
You make a girl go ""oooh""
I'm in love, love

[Chorus]
Did you see that shooting star tonight?
Were you dazzled by the same constellation?
Did you and Jupiter conspire to get me?
I think you and the Moon and Neptune got it right
Cause now I'm shining bright, so bright

And I get lost in your eyes

[Chorus]
Did you see that shooting star tonight?
Were you dazzled by the same constellation?
Did you and Jupiter conspire to get me?
I think you and the Moon and Neptune got it right
I think you and the Moon and Neptune got it right
I think you and the Moon and Neptune got it right
Cause now I'm shining bright, so bright
Bright, so bright
Bright, so bright
And I get lost in your eyes, tonight",220627,6,0.637,0.646,0.431,6.99e-06,0.113,-8.517,0.0262,90.034,0.292
691,691,691,Sangria,Blake Shelton,"[Click here to read about the first time Blake drank sangria]

[Verse 1]
You're crashin' into me like waves on the coast
Every time we talk, you move in close
I don't want you to stop, I don't want you to stop tonight
We've got the last two glasses on a straw hut bar
Tryin' to remember what number we are
String of white lights making your eyes shine tonight

[Chorus]
We're buzzing like that no vacancy sign out front
Your skin is begging to be kissed by a little more than the sun
You take my hand in yours, you lean in and
Your lips taste like sangria
Your lips taste like sangria

[Verse 2]
Wreckin' ball dancin' down the hallway
You're holding your shoes, wearing my shades
We fall against the door, we fall into a wild warm kiss

[Chorus]
We're buzzing like that no vacancy sign out front
Your skin is begging to be kissed by a little more than the sun
You take my hand in yours, you lean in and
Your lips taste like sangria
Your lips taste like sangria

[Bridge]
Only thing I want to do tonight
Is drink you like a Spanish wine
Let you let this head of mine keep spinning, spinning around

[Chorus]
We're buzzing like that no vacancy sign out front
Your skin is begging to be kissed by a little more than the sun
You take my hand in yours, you lean in and
Your lips taste like sangria
Your lips taste like sangria
Your lips taste like sangria
Your lips taste like sangria
Oh

[Outro]
Only thing I want to do tonight
Is drink you like a Spanish wine
Let you let this head of mine keep spinning, spinning around",233480,9,0.017,0.646,0.724,1.39e-06,0.153,-6.96,0.0265,115.984,0.54
629,629,629,White Iverson,Post Malone,"[Intro]
Double OT
I'm a new three

[Chorus]
Saucin', saucin', I'm saucin' on you
I'm swaggin', I'm swaggin', I'm swaggin', oh-ooh
I'm ballin', I'm ballin', Iverson on you (Swish, ooh, ayy)
Watch out, watch out, watch out, yeah
That's my shot, that's my shot, that's my shot, yeah
Spendin', I'm spendin' all my fuckin' pay

[Verse 1]
I got me some braids and I got me some hoes
Started rockin' the sleeve, I can't ball with no Joes
You know how I do it, Concords on my toes
(This shit is hard), ooh
I ain't rich yet, but you know I ain't broke, I
So if I see it, I like it, buy that from the store, I
I'm with some white girls and they lovin' the coca
Like they OT
Double OT like I'm KD, smokin' OG
And you know me, in my 2-3s and my gold teeth
Bitch, I'm smiling, bet you see me from the nosebleeds
I'm a new three and I change out to my new 3s

[Pre-Chorus]
White Iverson
When I started ballin', I was young
You gon' think about me when I'm gone
I need that money like the ring I never won, I won

[Chorus]
Saucin', saucin', I'm saucin' on you
I'm swaggin', I'm swaggin', I'm swaggin', oh-ooh
I'm ballin', I'm ballin', Iverson on you
Watch out, watch out, watch out, yeah
That's my shot, that's my shot, that's my shot, yeah
Spendin', I'm spendin' all my fuckin' pay

[Verse 2]
Ooh, Stoney
Cigarettes and a headband
Commas, commas in my head, man
Slumped over like a dead man
Red and black, 'bout my bread, man
I'm the answer, never question
Lace up, learn a lesson
Bitch, I'm saucin', I do this often, don't do no talkin'
My options right when I walk in, jump all them Jordans
I'm ballin', money jumpin'
Like I'm Davis from New Orleans
Or bitch I'm Harden, I don't miss nothin'
Fuck practice, this shit just happens, know y'all can't stand it
I have it, I never pass it, I work my magic
High average, ball on these bastards, it makes me happy
It's tragic, I make it happen, and all y'all Shaqtin'

[Pre-Chorus]
White Iverson
When I started ballin' I was young
You gon' think about me when I'm gone
I need that money like the ring I never won, I won

[Chorus]
Saucin', saucin', I'm saucin' on you
I'm swaggin', I'm swaggin', I'm swaggin', oh-ooh
I'm ballin', I'm ballin', Iverson on you
Watch out, watch out, watch out, yeah
That's my shot, that's my shot, that's my shot, yeah
Spendin', I'm spendin' all my fuckin' pay",256533,7,0.233,0.675,0.562,0.0,0.0816,-7.678,0.0352,130.098,0.309
503,503,503,Top Of The World,Tim McGraw,"[Verse 1]
We could have a little double wide planted in an empty field
We could have a big old white picket wrap around on a hill
Don't make a difference to me baby, where the wind takes me, long as I'm with you, girl
We could have something or nothing, still be sitting on top of the world

[Chorus]
'Cause when you got love, like we got love
I'm holding on to heaven, holding on to you
When you got one like I got one
Anyway you looking, it's a hell of a view

[Post-Chorus]
Don't know where we're gonna be
But I know we're gonna be
Sitting on top of the world
So keep hanging on to me
Yeah, don't you wanna be
Sitting on top of the world
Top of the world

[Verse 2]
We could be rolling on a couple of Goodyears and painted rust
We could be strolling barefoot in the sand, in the setting sun
Yeah, any way you kiss me flips me and gets me the right kind of tipsy, girl
We could be somewhere or nowhere and still be sitting on top of the world

[Chorus]
'Cause when you got love, like we got love
I'm holding on to heaven, holding on to you
When you got one like I got one
Anyway you looking, it's a hell of a view

[Post-Chorus]
Don't know where we're gonna be
But I know we're gonna be
Sitting on top of the world
So keep hanging on to me
Yeah, don't you wanna be
Sitting on top of the world
Top of the world

[Instrumental Bridge]
Top of the world

[Chorus]
'Cause when you got love, like we got love
I'm holding on to heaven, holding on to you
When you got one like I got one
Anyway you looking, it's a hell of a view
'Cause when you got love, like we got love
I'm holding on to heaven, holding on to you
When you got one like I got one
Anyway you looking, it's a hell of a view

[Post-Chorus]
Don't know where we're gonna be
But I know we're gonna be
Sitting on top of the world
So keep hanging on to me
Yeah, don't you wanna be
Sitting on top of the world
Top of the world

[Outro]
'Cause when you got love like we got love
Sitting on top of the world
'Cause when you got love like we got love
Sitting on top of the world
'Cause when you got love like we got love
Sitting on top of the world
'Cause when you got love like we got love
Sitting on top of the world",233973,8,0.29,0.675,0.791,0.0,0.485,-5.64,0.0383,141.217,0.943
