,Unnamed: 0,Unnamed: 0.1,song,artist,text,duration_ms,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
4001,3,3,Jai Ho! (You Are My Destiny),A R Rahman & The Pussycat Dolls Featuring Nicole Scherzinger,"[Intro: A. R. Rahman]
Jai Ho! Jai Ho!

[Verse 1: The Pussycat Dolls & A. R. Rahman]
I got shivers
When you touch away
I'll make you hot, get all you got
I'll make you wanna say
(Jai Ho!)
(Jai Ho!)
I got fever
Running like a fire
For you, I will go all the way, I wanna take you higher
(Jai Ho!)

[Pre-Chorus: The Pussycat Dolls]
I keep it steady
'Cause steady is how I feel it
This beat is heavy, so heavy
You gon' feel it

[Chorus: The Pussycat Dolls & A. R. Rahman]
(Jai Ho!)
You are the reason that I breathe
(Jai Ho!)
You are the reason that I still believe
(Jai Ho!)
You are my destiny
Jai Ho, o-o-o-oh!
(Jai Ho!)
No, there is nothing that can stop us
(Jai Ho!)
Nothing can ever come between us
(Jai Ho!)
So come and dance with me
(Jai Ho!)

[Post-Chorus: The Pussycat Dolls & A. R. Rahman]
Catch me, catch me, catch me, come and catch me
I want you now
I know you can save me, come and save me
I need you now
I am yours forever, yes, forever
I will follow
Anywhere in anyway
Never gonna let go
(Jai Ho!)

[Verse 2: The Pussycat Dolls & A. R. Rahman]
(Jai Ho!)
Escape (Escape) away (Away)
I'll take you to a place
This fantasy of you and me, I'll never lose the chase
(Jai Ho!)
I can (I can) feel you (Feel you)
Rushing through my veins
There's an ocean in my heart, I will never be the same
(Jai Ho!)

[Pre-Chorus: The Pussycat Dolls & A. R. Rahman]
Just keep it burnin', yeah, baby
Just keep it comin'
(Jai Ho!)
You're gonna find out, baby
I'm one in a million

[Chorus: The Pussycat Dolls & A. R. Rahman]
(Jai Ho!)
You are the reason that I breathe
(Jai Ho!)
You are the reason that I still believe
(Jai Ho!)
You are my destiny
Jai Ho, o-o-o-oh!
(Jai Ho!)
No, there is nothing that can stop us
(Jai Ho!)
Nothing can ever come between us
(Jai Ho!)
So come and dance with me
Jai Ho! (You and me, it's destiny)

[Post-Chorus: The Pussycat Dolls & A. R. Rahman]
Catch me, catch me, catch me, come and catch me
I want you now
I know you can save me, come and save me
I need you now
I am yours forever, yes, forever
I will follow
Anywhere in anyway
Never gonna let go
(Jai Ho!)

[Bridge: The Pussycat Dolls & A. R. Rahman]
(Jai Ho!)
(Jai Ho!)
I need you
Gonna make it
(Jai Ho!)
I'm ready
So take it

[Chorus: The Pussycat Dolls & A. R. Rahman]
(Jai Ho!)
You are the reason that I breathe
(Jai Ho!)
You are the reason that I still believe
(Jai Ho!)
You are my destiny
Jai Ho, o-o-o-oh!
(Jai Ho!)
No there is nothing that can stop us
(Jai Ho!)
Nothing can ever come between us
(Jai Ho!)
So come and dance with me
Jai Ho! (you and me, it's destiny)

[Outro: The Pussycat Dolls & A. R. Rahman]
(Jai Ho!)
Baila, baila!
Baila, baila!
(Jai Ho!)
Baila, baila!
(Jai Ho!)",,,,,,,,,,,
4033,35,35,Determinate,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko","[Intro: Bridgit Mendler]
Trying hard to fight these tears
I'm crazy worried
Messing with my head this fear
I'm so sorry
You know you gotta get it out
I can't take it
That's what being friends' about

[Verse 1: Bridgit Mendler]
I, I wanna cry
I can't deny
Tonight I wanna up and hide
And get inside
It isn't right
I gotta live in my life
I know I, I know I
I know I gotta do it
I know I, I know I
I know I gotta do it

[Chorus: Bridgit Mendler]
Gotta turn the world into your dance floor
Determinate, d-determinate
Push until you can't and then demand more
Determinate, d-determinate
You and me together, we can make it better
Gotta turn the world into your dance floor
Determinate, d-determinate

(Verse 2)
Hate to feel this way
And waste a day
I gotta get myself on stage
I shouldn't wait
Or be afraid
The chips will fall where they may
I know I, I know I
I know I gotta do it
I know I, I know I
I know I gotta do it

[Chorus: Bridgit Mendler]
Gotta turn the world into your dance floor
Determinate, d-determinate
Push until you can't and then demand more
Determinate, d-determinate
You and me together, we can make it better
Gotta turn the world into your dance floor
Determinate, d-determinate

[Bridge: Adam Hicks]
Okay, it's Wen and I'm heaven-sent, music like a veteran
Renegade, lemonade, use it in my medicine
Go ahead and try to name a band we ain't better than
Reason why the whole world's picking us instead of them
People need a breather 'cause they're feeling that adrenaline
Stop! Now hurry up and let us in
Knock! 'Cause we're coming to your house and
People keep on smiling like there lemons in their mouths
I'm the real deal, you know how I feel
Why they're in it for a bill, I'm just in it for the thrill
Get down now I ain't playin' around
Put your feet up on the ground and just make that sound like

[Chorus: Bridgit Mendler]
Gotta turn the world into your dance floor
Determinate, d-determinate
Push until you can't and then demand more
Determinate, d-determinate
You and me together, we can make it better
Gotta turn the world into your dance floor
Determinate, d-determinate

[Outro: Bridgit Mendler]
Come on and, come on and
Come on and get it going
Come on and, come on and
Come on and get it going
On the dance floor
On the dance floor
D-d-dance floor
Determinate",,,,,,,,,,,
4065,67,67,As If We Never Said Goodbye,Glee Cast,"[KURT]
I don't know why I'm frightened: I know my way around here
The cardboard trees, the painted seas, the sound here...
Yes, a world to rediscover
But I'm not in any hurry
And I need a moment

The whispered conversations in overcrowded hallways
The atmosphere, as thrilling here as always
Feel the early morning madness
Feel the magic in the making
Why, everything's as if we never said goodbye

I've spent so many mornings just trying to resist you
I'm trembling now, you can't know how I've missed you
Missed the fairy tale adventure
In this ever-spinning playground
We were young together

I'm coming out of make-up, the lights already burning
Not long until the cameras will start turning...
And the early morning madness
And the magic in the making
Yes, everything's as if we never said goodbye

I don't want to be alone, that's all in the past
This world's waited long enough: I've come home at last!

And this time will be bigger and brighter than we knew it
So watch me fly, we all know I can do it...
Could I stop my hands from shaking?
Has there ever been a moment
With so much to live for?

The whispered conversations in overcrowded hallways
So much to say, not just today, but always...
We'll have early morning madness
We'll have magic in the making
Yes, everything's as if we never said goodbye
Yes, everything's as if we never said goodbye...
We taught the world new ways to dream!",294107,3,0.56,0.333,0.267,1.8e-06,0.287,-9.011,0.0347,112.181,0.234
4129,131,131,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,"Ether boy!!!! Hey!!!!

How we ball in the club I know you hate it
Mami dancin on the floor all like she naked
When she lay down with you I know she fake it
All the girls give it to me I ain't gotta take it
OHHHHHHHH!!!!! Pop champagne!
OHHHHHHHH!!!!! Pop champagne!
OHHHHHHHH!!!!! We pop champagne!
OHHHHHHHH!!!!! We pop champagne!

We need more bottles tell ma hurry up
Tell 'em Ron Browz here hottest in America
Gimme sixteen bars and you know I tear it up
Know it's me when you see this fur in your area
And she call me all night cause you can get it up
On my neck on my wrist everything is litted up
Drinkin bottles of that Clique 'till I spit it up
Only get one life so you gotta live it up
(HEY!!!) If you in the things I'm in
Shorty we can be friends, shorty we can be friends
Right now, I wanna see you dance, see you dance
I wanna see you dance, see you dance
I wanna see you dance, see you dance
I wanna see you dance, see you dance

When I go to the dealer you know I cop that (What's that?)
Brand new 'rarri and the roof drop back (The 60)
Came through Harlem like the Rooftop back (AIYYO!!!)
Money in the bank man you know don't stop that (Stop that stop that stop that!!!)
(*OHHHHHHHH!!!!!) Now we tryin to get up in the club
(*OHHHHHHHH!!!!!) Try to tell me no cause I'm rollin with the thugs
(We got money b***h!!!) Until I flash a couple of dollars (Yep!)
Tell 'em we only want tables and we buyin out the bottles
(*OHHHHHHHH!!!!!) Y'all know the order
Tell 'em ten Rose's and a few cold waters (Right!!!)
Only Patron and a couple of lemons (Let's go)
Ten thousand dollars stuffed up in the denims (What else)
We standin on couches, a couple of women (Hey baby)
We was ballin hard it was just the ninth inning (Early)
He told shorty we could be friends (Yep)
And your friends could meet with my friends (What else)
And we could do this on the weekend or on the weekday
We could do this on the freeway and get in the freak way s**t
We could get in on three way (Oh)
Blackberry two way, souped up cars on the thruway (Yep)
We superstars no Lupe, we could do this like a duet
But y'all be the singers on the mic, wait let me dim the lights
This was in the car while I was stoppin at the light

How we ball in the club I know you hate it
Mami dancin on the floor all like she naked
When she lay down with you I know she fake it
All the girls give it to me I ain't gotta take it
OHHHHHHHH!!!!! Pop champagne!
OHHHHHHHH!!!!! Pop champagne!
OHHHHHHHH!!!!! We pop champagne!
OHHHHHHHH!!!!! We pop champagne!

Baby I wanna see you work (Go) See you dance (Go)
Without no shirt, without those pants
Pop champagne ain't a damn thing change
Spray it in the air make it champagne rain
Buckets of ice keep the champagne cool
Mami got a body see that damn thing move
It's no sex in the champagne room
Says who? Baby I'll break all rules
Bring it here and I'll break off you
She see me in V.I.P. and wanna break on through
When she with you she lyin but she fake it
When she with me she like it she never fake it

I wanna see you dance, see you dance
I wanna see you dance, see you dance
I wanna see you dance, see you dance
I wanna see you dance, see you dance

How we ball in the club I know you hate it
Mami dancin on the floor all like she naked
When she lay down with you I know she fake it
All the girls give it to me I ain't gotta take it
OHHHHHHHH!!!!! Pop champagne!
OHHHHHHHH!!!!! Pop champagne!
OHHHHHHHH!!!!! We pop champagne!
OHHHHHHHH!!!!! We pop champagne!",215973,0,0.03,0.61,0.431,0.0,0.099,-6.73,0.294,136.878,0.463
4193,195,195,Another Side Of You,Joe Nichols,"When you rolled out of bed and stubbed your toe
And I heard you almost cuss
And I fought back the urge to laugh
Just listen to you fuss
Then you overdid the coffee
Couldn't get your hair just right
When I smiled and said good morning
You looked mad enough to fight

Well, that's another side of you
That I'm in a love with too
Yeah, that minivan's a far cry
From the sports car in your dreams
And that dead end job is pushing back
Vacation more, it seems
You got soccer at four-thirty
And ballet class by five
Then I call you talking flirty
You ask have I lost my mind

Well, that's another side of you
That I'm in love with too

When you lay down in my arms
Let go of all that stress
Whisper, honey I love you
With your head on my chest
When the world's strongest woman is my lady
When the day is through
Well, that's another side of you
That I'm in love with too

If I had to do the things you do
Well, I'd just lose my mind
Somehow you get 'em fed and bathed
And settled down by nine
And I hear you down the hallway
As you're laying down to sleep
And pray the good lord watches
Over them and you and me

Well, that's another side of you
That I'm in love with too
Well, that's another side of you
That I'm in love with too",178267,10,0.461,0.551,0.651,0.103,0.426,-8.129,0.0318,94.998,0.679
4097,99,99,Panic Switch,Silversun Pickups,"[Verse 1]
Time is never worth my time
Blue shine bleeds into my eyes
I still sleep on the right side
But white noise can't leave the scene behind

[Pre-Chorus 1]
Could I be anything you want me to be?
If so, is it meant to be seen?

[Chorus]
When you see yourself in a crowded room
Do your fingers itch? Are you pistol whipped?
Will you step in line or release the glitch?
Can you fall asleep with a panic switch?

When you see yourself in a crowded room
Do your fingers itch? Are you pistol whipped?
Will you step in line or release the glitch?
Do you think she'll sleep with a panic?

[Verse 2]
I'll try to hold on tight tonight
Pink slip inviting me inside
Want to burn skin and brand what once was mine
But the red views keep ripping the divide

[Pre-Chorus 2]
If I go everywhere you want me to go
How will I know you'll still follow?

[Chorus]
When you see yourself in a crowded room?
Do your fingers itch? Are you pistol-whipped?
Will you step in line or release the glitch?
Can you fall asleep with a panic switch?

When you see yourself in a crowded room
Do your fingers itch? Are you pistol whipped?
Will you step in line or release the glitch?
Do you think she'll sleep with a panic?


[Bridge]
I'm waiting and fading and floating away
I'm waiting and fading and floating away
I'm waiting and fading and floating away
I'm waiting and fading and floating...

[Solo]

[Bridge 2]
I'm waiting and fading and floating away
I'm waiting and fading and floating away
I'm waiting and fading and floating away
Waiting and fading, waiting and fading

[Chorus]
When you see yourself in a crowded room?
Do your fingers itch? Are you pistol-whipped?
Will you step in line or release the glitch?
Can you fall asleep with a panic switch?

When you see yourself in a crowded room
Do your fingers itch? Are you pistol whipped?
Will you step in line or release the glitch?
Do you think she'll sleep with a panic?",343907,5,0.000202,0.163,0.885,0.0121,0.228,-4.623,0.0725,198.556,0.549
4161,163,163,Low,Flo Rida Featuring T-Pain,"[Intro: T-Pain, Flo Rida]
Hmm-mmm-mmm-mmm-mmm-mmm
Let me talk to 'em, let me talk to 'em let it rain
Hmm-mmm-mmm-mmm-mmm-mmm
Let me talk to 'em come on

[Chorus: T-Pain]
Shawty had them Apple Bottom jeans
Boots with the fur (With the fur)
The whole club was lookin' at her
She hit the flo' (She hit the flo'), next thing you know
Shawty got low-low-low-low-low-low-low-low
Them baggy sweat pants
And the Reeboks with the straps (With the straps)
She turned around and gave that big booty a smack (Ayy)
She hit the flo' (She hit the flo'), next thing you know
Shawty got low-low-low-low-low-low-low-low

[Verse 1: Flo Rida]
I ain't never seen nothin' that'll make me go
This crazy all night spendin' my dough
Had a million dollar vibe and a bottle to go
Them birthday cakes they stole the show
So sexual, she was flexible
Professional, drinkin' X and O
Hold up, wait a minute, do I see what I think I, whoa
Did I think I see shawty get low?
Ain't the same when it's up that close
Make it rain, I'm makin' it snow
Work the pole, I got the bank roll
I'ma say that I prefer them no clothes
I'm into that, I love women exposed
She threw it back at me, I gave her mo'
Cash ain't no problem, I know where it goes
She had them

[Chorus: T-Pain]
Apple Bottom jeans, boots with the fur (With the fur)
The whole club was lookin' at her
She hit the flo' (She hit the flo'), next thing you know
Shawty got low-low-low-low-low-low-low-low
Them baggy sweat pants
And the Reeboks with the straps (With the straps)
She turned around and gave that big booty a smack (Ayy)
She hit the flo' (She hit the flo'), next thing you know
Shawty got low-low-low-low-low-low-low-low

[Verse 2: Flo Rida]
Hey, shawty, what I gotta do to get you home?
My jeans full of guap and they ready for shones
Cadillacs, Maybachs for the sexy groan
Patron on the rocks that'll make you moan
One stack c'mon, two stacks c'mon
Three stacks c'mon, now that's three grand
What, you think I'm playin', baby girl?
I'm the man, I'll bend the rubber bands
That's what I told her, her legs on my shoulder
I knew it was over, that Henny and Cola
Got me like a solider, she ready for Rover
I couldn't control her
So lucky oh me, I was just like a clover
Shawty was hot like a toaster
Sorry but I had to fold her
Like a pornography poster, she showed her

[Chorus: T-Pain]
Apple Bottom jeans, boots with the fur (With the fur)
The whole club was lookin' at her
She hit the flo' (She hit the flo') next thing you know
Shawty got low-low-low-low-low-low-low-low
Them baggy sweat pants
And the Reeboks with the straps (With the straps)
She turned around and gave that big booty a smack (Ayy)
She hit the flo' (She hit the flo'), next thing you know
Shawty got low-low-low-low-low-low-low-low

[Verse 3: Flo Rida]
Whoa, shawty
Yeah she was worth the money
Lil' mama took my cash
And I ain't want it back
The way she bent that back
Got her them paper stacks
Tattoo above her crack
I had to handle that
I was on it, sexy woman
Let me showin' and made me want it
Two in the mornin', I'm zonin'
And them Rosay bottles foamin'
She wouldn't stop, made it drop
Shawty did that pop and lock
Had to break her off that guap
Gal was fly just like my Glock

[Chorus: T-Pain]
Apple Bottom jeans, boots with the fur (With the fur)
The whole club was lookin' at her
She hit the flo' (She hit the flo'!), next thang you know
Shawty got low-low-low-low-low-low-low-low
Them baggy sweat pants
And the Reeboks with the straps (With the straps)
She turned around and gave that big booty a smack (Ayy!!)
She hit the flo' (She hit the flo'!), next thang you know
Shawty got low-low-low-low-low-low-low-low",231400,10,0.0928,0.918,0.609,0.0,0.139,-5.64,0.0791,128.008,0.304
4225,227,227,Last Name,Carrie Underwood,"[Verse 1]
Last night, I got served a little bit too much of that poison, baby
Last night, I did things I'm not proud of
And I got a little crazy
Last night, I met a guy on the dance floor
And I let him call me baby

[Chorus 1]
And I don't even know his last name
My mama would be so ashamed
It started off, ""Hey, cutie, where you from?""
And then it turned into, ""Oh, no, what have I done?""
And I don't even know his last name
Woo!

[Verse 2]
We left the club, right around three o'clock in the morning
His Pinto, sitting there, in the parking lot
When it should've been a warning
I had no clue what I was getting into
So, I'll blame it on the Cuervo
Oh, where did my manners go?

[Chorus 1]
And I don't even know his last name
Oh, my mama would be so ashamed
It started off, ""Hey, cutie, where you from?""
And then it turned into, ""Oh, no, what have I done?""
And I don't even know his last name
Here we go!

[Bridge]
Today, I woke up thinking about Elvis somewhere in Vegas
I'm not sure how I got here
Or how this ring on my left hand just appeared outta nowhere
I gotta go
I take the chips and the Pinto and hit the road
They say what happens here, stays here, all of this will disappear
There's just one little problem

[Chorus 2]
I don't even know my last name
Oh, my mama would be so ashamed
It started off, ""Hey, cutie, where you from?""
And then it turned into, ""Oh, no! What have I done?""
And I don't even know my last name

[Breakdown]
What have I done?
What have I done?
What have I done?
Oh, what have I done?
I don't even know my last name
Well, it turned into, ""Oh no, what have I done?""
And I don't even know my last name
Hey, yeah, yeah
Yeah-eh, yeah-eh, yeah-eh, yeah-eh, yeah-eh, oh

[Outro]
It started off, ""Hey cutie, where you from?""
And then it turned into, ""Oh no, what have I done?""
And I don't even know my last name
Oh, yeah",241053,3,0.194,0.395,0.869,0.0,0.0874,-3.154,0.109,159.833,0.688
4002,4,4,Love This Pain,Lady Antebellum,"[Verse 1]
She's no good for me, I know that she's, a wildflower
She's got a restlessness, a beautifulness, a thing about her
But here I am again callin' her back
Lettin' her drive me crazy

[Chorus]
It's like I love this pain, a little too much
Love my heart all busted up
Somethin' about her, we just don't work
But I can't walk away
It's like I love this pain

[Verse 2]
It's just an on again, and off again, situation
It's just strikin' a match, a tank of gas, combination
But here I am again lightin' it up
Knowin' that she'll just burn me

[Chorus]
It's like I love this pain, a little too much
Love my heart all busted up
Somethin' about her, we just don't work
But I can't walk away
It's like I love this pain

[Verse 3]
It's like I love this life
When nothing's right, yeah something's wrong
It's like I'm just not me
If I can't be a sad, sad song

[Chorus]
It's like I love this pain a little too much
Love my heart all busted up
Something about her, we just don't work
But I can't walk away
It's like I love this pain

[Outro]
Oh, yeah, it's like I love this pain
I can't walk away, oh no
It's like I love this pain",183653,11,0.00876,0.639,0.905,1.54e-06,0.364,-3.044,0.0409,127.972,0.792
4034,36,36,I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,"[Intro: Lil Wayne]
Yeah
Uh-huh
Um, uh-huh
Okay

[Verse 1: Lil Wayne]
Hello mothafucka, hey, hi, how ya durrn'?
It's Weezy F Baby, come to take a shit and urine
On these toilet bowl bitches, pussy ass niggas
Stomping on this beat like a motherfucking Sigma
Bad to the bristle, hat to the rizzle
I'm so official, all I need is a whistle
Bitch named Crystal, let her suck my pistol
She open up her mouth and then I blow her brains out
You ain't met a nigga like me, you probably never will
Riders rollin' with me, like 11 wheels
Find out where you livin', kill you in the kitchen
The feds tryin' to clip us, but we ain't even trippin'

[Chorus: Lil Wayne]
I'm goin' in, I'm goin' in
I'm goin' in, I'm goin' in
And I'ma go hard, and I'ma go hard
And I'ma go hard, and I'ma go hard
Bitch I'm goin' in, I'm goin' in
I'm goin' in, I'm goin' in
And I'ma go hard, and I'ma go hard
And I'ma go hard, and I'ma go hard

[Verse 2: Drake]
First off, you know what it is if you heard Drake
Making hoes wobble like a bridge in a earthquake
Never see me out 'cause I live in my workplace
I'll give you the business, so button up your shirt straight
Look at where I landed, you would think I planned it
I'm just doing me and you could never understand it
Chicks get hammered, big-dicked bandit
Money flowin' like a slit wrist, no bandage
Blowin' purple clouds, nigga I'm so sky high
I ain't cuttin' anybody slices out of my pie
Out of this world though, I'm so sci-fi
And I don't sit still, I keep it moving like a drive-by
I just tell the truth and so I'm cool in every hood spot
21 years and I ain't ever met a good cop
Me and Wayne lean like Kareem doin' hook shots
Cover me, I'm goin' in, and buckin' when the hook drop

[Chorus: Lil Wayne]
I'm goin' in, I'm goin' in
I'm goin' in, I'm goin' in
And I'ma go hard, and I'ma go hard
And I'ma go hard, and I'ma go hard
Bitch I'm goin' in, I'm goin' in
I'm goin' in, I'm goin' in
And I'ma go hard, and I'ma go hard
And I'ma go hard, and I'ma go hard

[Verse 3: Young Jeezy]
It goes, hold up, wait one motherfuckin' minute
It's the El Capitan, I got motherfuckin' lieutenants
And if I said ""I'm goin' in"" then I motherfuckin' meant it
And if I brought it in the club then I'ma motherfuckin' spend it
Cost a few hundred bands and I'm motherfuckin' in it
No need for a room, yeah you know I'm fuckin' in it
She actin' like she not, but she know she fuckin' winnin'
She said ""I seen it all"", I say ""No you fuckin' didn't""
You ever bust ten nuts in a two-seater?
She said ""I can't feel my legs"", I'm like ""Bitch, me neither""
I'm goin' in, where should I begin?
I don't even know, maybe where my blunt ends
And I'ma be a legend even when my life end
And I'ma be a legend even when this night ends
Yeah I do my thang, hop up out it like BEM!
Bitch, I said I'm him, so I'm nothin' like them

[Chorus: Lil Wayne]
I'm goin' in, I'm goin' in
I'm goin' in, I'm goin' in
And I'ma go hard, and I'ma go hard
And I'ma go hard, and I'ma go hard
Bitch I'm goin' in, I'm goin' in
I'm goin' in, I'm goin' in
And I'ma go hard, and I'ma go hard
And I'ma go hard, and I'ma go hard",,,,,,,,,,,
